"snapshot_date","group","rank","team","played","wins","draws","losses","goals_for","goals_against","goal_difference","points"
"2026-06-18","A","1","Mexico","1","1","0","0","2","0","2","3"
"2026-06-18","A","2","South Korea","1","1","0","0","2","1","1","3"
"2026-06-18","A","3","Czechia","1","0","0","1","1","2","-1","0"
"2026-06-18","A","4","South Africa","1","0","0","1","0","2","-2","0"
"2026-06-18","B","1","Bosnia and Herzegovina","1","0","1","0","1","1","0","1"
"2026-06-18","B","2","Canada","1","0","1","0","1","1","0","1"
"2026-06-18","B","3","Qatar","1","0","1","0","1","1","0","1"
"2026-06-18","B","4","Switzerland","1","0","1","0","1","1","0","1"
"2026-06-18","C","1","Scotland","1","1","0","0","1","0","1","3"
"2026-06-18","C","2","Brazil","1","0","1","0","1","1","0","1"
"2026-06-18","C","3","Morocco","1","0","1","0","1","1","0","1"
"2026-06-18","C","4","Haiti","1","0","0","1","0","1","-1","0"
"2026-06-18","D","1","United States","1","1","0","0","4","1","3","3"
"2026-06-18","D","2","Australia","1","1","0","0","2","0","2","3"
"2026-06-18","D","3","Türkiye","1","0","0","1","0","2","-2","0"
"2026-06-18","D","4","Paraguay","1","0","0","1","1","4","-3","0"
"2026-06-18","E","1","Germany","1","1","0","0","7","1","6","3"
"2026-06-18","E","2","Ivory Coast","1","1","0","0","1","0","1","3"
"2026-06-18","E","3","Ecuador","1","0","0","1","0","1","-1","0"
"2026-06-18","E","4","Curaçao","1","0","0","1","1","7","-6","0"
"2026-06-18","F","1","Sweden","1","1","0","0","5","1","4","3"
"2026-06-18","F","2","Japan","1","0","1","0","2","2","0","1"
"2026-06-18","F","3","Netherlands","1","0","1","0","2","2","0","1"
"2026-06-18","F","4","Tunisia","1","0","0","1","1","5","-4","0"
"2026-06-18","G","1","Iran","1","0","1","0","2","2","0","1"
"2026-06-18","G","2","New Zealand","1","0","1","0","2","2","0","1"
"2026-06-18","G","3","Belgium","1","0","1","0","1","1","0","1"
"2026-06-18","G","4","Egypt","1","0","1","0","1","1","0","1"
"2026-06-18","H","1","Saudi Arabia","1","0","1","0","1","1","0","1"
"2026-06-18","H","2","Uruguay","1","0","1","0","1","1","0","1"
"2026-06-18","H","3","Cabo Verde","1","0","1","0","0","0","0","1"
"2026-06-18","H","4","Spain","1","0","1","0","0","0","0","1"
"2026-06-18","I","1","Norway","1","1","0","0","4","1","3","3"
"2026-06-18","I","2","France","1","1","0","0","3","1","2","3"
"2026-06-18","I","3","Senegal","1","0","0","1","1","3","-2","0"
"2026-06-18","I","4","Iraq","1","0","0","1","1","4","-3","0"
"2026-06-18","J","1","Argentina","1","1","0","0","3","0","3","3"
"2026-06-18","J","2","Austria","1","1","0","0","3","1","2","3"
"2026-06-18","J","3","Jordan","1","0","0","1","1","3","-2","0"
"2026-06-18","J","4","Algeria","1","0","0","1","0","3","-3","0"
"2026-06-18","K","1","Colombia","1","1","0","0","2","1","1","3"
"2026-06-18","K","2","DR Congo","1","0","1","0","1","1","0","1"
"2026-06-18","K","3","Portugal","1","0","1","0","1","1","0","1"
"2026-06-18","K","4","Uzbekistan","1","0","0","1","1","2","-1","0"
"2026-06-18","L","1","England","1","1","0","0","4","2","2","3"
"2026-06-18","L","2","Ghana","1","1","0","0","1","0","1","3"
"2026-06-18","L","3","Panama","1","0","0","1","0","1","-1","0"
"2026-06-18","L","4","Croatia","1","0","0","1","2","4","-2","0"
