"数据日期 / Snapshot Date","小组 / Group","排名 / Rank","球队 / Team","场次 / Played","胜 / Wins","平 / Draws","负 / Losses","进球 / Goals For","失球 / Goals Against","净胜球 / Goal Difference","积分 / Points"
"","A组 / Group A","1","墨西哥 / Mexico","1","1","0","0","2","0","2","3"
"","A组 / Group A","2","韩国 / South Korea","1","1","0","0","2","1","1","3"
"","A组 / Group A","3","捷克 / Czechia","1","0","0","1","1","2","-1","0"
"","A组 / Group A","4","南非 / South Africa","1","0","0","1","0","2","-2","0"
"","B组 / Group B","1","波斯尼亚和黑塞哥维那 / Bosnia and Herzegovina","1","0","1","0","1","1","0","1"
"","B组 / Group B","2","加拿大 / Canada","1","0","1","0","1","1","0","1"
"","B组 / Group B","3","卡塔尔 / Qatar","1","0","1","0","1","1","0","1"
"","B组 / Group B","4","瑞士 / Switzerland","1","0","1","0","1","1","0","1"
"","C组 / Group C","1","苏格兰 / Scotland","1","1","0","0","1","0","1","3"
"","C组 / Group C","2","巴西 / Brazil","1","0","1","0","1","1","0","1"
"","C组 / Group C","3","摩洛哥 / Morocco","1","0","1","0","1","1","0","1"
"","C组 / Group C","4","海地 / Haiti","1","0","0","1","0","1","-1","0"
"","D组 / Group D","1","美国 / United States","1","1","0","0","4","1","3","3"
"","D组 / Group D","2","澳大利亚 / Australia","1","1","0","0","2","0","2","3"
"","D组 / Group D","3","土耳其 / Türkiye","1","0","0","1","0","2","-2","0"
"","D组 / Group D","4","巴拉圭 / Paraguay","1","0","0","1","1","4","-3","0"
"","E组 / Group E","1","德国 / Germany","1","1","0","0","7","1","6","3"
"","E组 / Group E","2","科特迪瓦 / Ivory Coast","1","1","0","0","1","0","1","3"
"","E组 / Group E","3","厄瓜多尔 / Ecuador","1","0","0","1","0","1","-1","0"
"","E组 / Group E","4","库拉索 / Curaçao","1","0","0","1","1","7","-6","0"
"","F组 / Group F","1","瑞典 / Sweden","1","1","0","0","5","1","4","3"
"","F组 / Group F","2","日本 / Japan","1","0","1","0","2","2","0","1"
"","F组 / Group F","3","荷兰 / Netherlands","1","0","1","0","2","2","0","1"
"","F组 / Group F","4","突尼斯 / Tunisia","1","0","0","1","1","5","-4","0"
"","G组 / Group G","1","伊朗 / Iran","1","0","1","0","2","2","0","1"
"","G组 / Group G","2","新西兰 / New Zealand","1","0","1","0","2","2","0","1"
"","G组 / Group G","3","比利时 / Belgium","1","0","1","0","1","1","0","1"
"","G组 / Group G","4","埃及 / Egypt","1","0","1","0","1","1","0","1"
"","H组 / Group H","1","沙特阿拉伯 / Saudi Arabia","1","0","1","0","1","1","0","1"
"","H组 / Group H","2","乌拉圭 / Uruguay","1","0","1","0","1","1","0","1"
"","H组 / Group H","3","佛得角 / Cabo Verde","1","0","1","0","0","0","0","1"
"","H组 / Group H","4","西班牙 / Spain","1","0","1","0","0","0","0","1"
"","I组 / Group I","1","挪威 / Norway","1","1","0","0","4","1","3","3"
"","I组 / Group I","2","法国 / France","1","1","0","0","3","1","2","3"
"","I组 / Group I","3","塞内加尔 / Senegal","1","0","0","1","1","3","-2","0"
"","I组 / Group I","4","伊拉克 / Iraq","1","0","0","1","1","4","-3","0"
"","J组 / Group J","1","阿根廷 / Argentina","1","1","0","0","3","0","3","3"
"","J组 / Group J","2","奥地利 / Austria","1","1","0","0","3","1","2","3"
"","J组 / Group J","3","约旦 / Jordan","1","0","0","1","1","3","-2","0"
"","J组 / Group J","4","阿尔及利亚 / Algeria","1","0","0","1","0","3","-3","0"
"","K组 / Group K","1","哥伦比亚 / Colombia","1","1","0","0","2","1","1","3"
"","K组 / Group K","2","刚果民主共和国 / DR Congo","1","0","1","0","1","1","0","1"
"","K组 / Group K","3","葡萄牙 / Portugal","1","0","1","0","1","1","0","1"
"","K组 / Group K","4","乌兹别克斯坦 / Uzbekistan","1","0","0","1","1","2","-1","0"
"","L组 / Group L","1","英格兰 / England","1","1","0","0","4","2","2","3"
"","L组 / Group L","2","加纳 / Ghana","1","1","0","0","1","0","1","3"
"","L组 / Group L","3","巴拿马 / Panama","1","0","0","1","0","1","-1","0"
"","L组 / Group L","4","克罗地亚 / Croatia","1","0","0","1","2","4","-2","0"
